δt [s]        	x(t = 70 s) [m]	x vero [m]    
0.100000000000	0.773850111408	0.773890681558
0.063291139241	0.773884380099	0.773890681558
0.039840637450	0.773889713556	0.773890681558
0.025125628141	0.773890530591	0.773890681558
0.015847860539	0.773890657880	0.773890681558
0.010000000000	0.773890677826	0.773890681558
0.006309148265	0.773890680969	0.773890681558
0.003980891720	0.773890681465	0.773890681558
0.002511931675	0.773890681543	0.773890681558
0.001584786054	0.773890681556	0.773890681558
0.001000000000	0.773890681558	0.773890681558
